insul_thick,wwr,wall_thick,u_win_n,u_win_s,u_win_e,u_win_w,u_wall,u_roof,u_ground,shgc_n,shgc_s,shgc_e,shgc_w,window_type_id,roof_insul_thick,floor_num,public_area,room_area,room_count,building_length,building_width,aspect_ratio,floor_height,orientation_deg,equip_power,dhw_per_person,occupancy_density,light_power,cool_set,heat_set,dhw_temp,cop_cooling,cop_heating,boiler_eff,fan_eff,fresh_air_ach,operation_hours,sample_id,source_lhs_index,gross_floor_area_m2,footprint_area_m2,building_height_m,building_volume_m3,guestroom_total_area_m2,usable_area_m2,usable_area_ratio,geometry_feasible,estimated_people,daily_operation_hours,schedule_on_fraction,wall_R_m2K_W,roof_R_m2K_W,floor_R_m2K_W,glass_vt,ideal_cooling_supply_kwh,ideal_heating_supply_kwh,ideal_cooling_zone_kwh,ideal_heating_zone_kwh,smoke_test_load_model,ideal_cooling_load_kwh,ideal_heating_load_kwh,cooling_electricity_kwh,heating_electricity_kwh,lighting_electricity_kwh,equipment_electricity_kwh,fan_electricity_kwh,electricity_kwh,dhw_thermal_kwh,natural_gas_kwh,site_energy_kwh,eui_kwh_m2,simulation_mode
0.1157752518103885,0.32710037000113534,0.24904829609403295,1.7606732889057177,1.7805629767045397,1.6768944587823142,1.7945981648746097,0.4153851687382897,0.41045777783943005,0.18029209629891468,0.4024625472435243,0.3502530045903778,0.43640312490890054,0.3843699282300206,2,0.10777772975989512,9,119.07048318342726,27.990703021764794,190,44.88227253525556,18.0,2.192082881573517,3.0305176965630567,29.019107659094946,3.597751810000233,0.17718373566736534,0.10601315962191946,4.30637304127015,24.305713087790497,19.669159063593657,52.31466048673816,4.94267372401063,3.825917310390114,0.9054258830203207,0.6621935163760359,0.6934431913061279,2298.2076784563205,sample_0004,3,7270.9281507114,807.8809056346,27.27465926906751,22034.6764311694,5318.233574135311,5437.304057318738,0.7478143016427335,True,304.0,6.296459393031015,0.26235247470962564,2.237404200389356,2.296304180332032,5.376554843658001,0.65,346507.3602494655,156284.14534211787,346507.3602494655,156284.14534211787,1.0,346507.3602494655,156284.14534211787,70105.24659278932,40848.80374118232,71959.93666896237,60118.8029734418,8838.339149662608,251871.12912603843,853034.3500196113,942136.033458706,1194007.1625847444,164.2166086413494,engineering_smoke_test
0.10353124348436465,0.3283258718173745,0.23877193208058722,1.1493941256336409,1.6760810434108564,1.2425694978722375,1.5465607442681595,0.45481520299282574,0.26826630919922234,0.2056076182753739,0.41418394689442073,0.2529454280016171,0.21365351424660556,0.5853828646205074,3,0.14712569225731614,12,96.67851654647136,26.08635028548258,203,41.168774478697785,17.07754612065151,2.41069613794884,2.9401325093682473,53.19829856122626,3.585256481311146,0.09101373453836067,0.19330635514471722,5.723100587419457,25.23557888768058,19.17360064685827,45.44811132672487,4.691415307023229,2.5327013432381746,0.8596993129847796,0.5691568384201087,1.1497106413385176,2553.6689365545294,sample_0007,6,8436.739738687946,703.0616448906621,35.28159011241897,24805.1327787954,5295.529107952964,5392.207624499436,0.6391340484017366,True,324.8,6.996353250834328,0.29151471878476365,2.028695191848664,3.58763916193953,4.693633013153639,0.75,419941.3637352009,195133.48513821707,419941.3637352009,195133.48513821707,1.0,419941.3637352009,195133.48513821707,89512.72404012762,77045.59625997196,123302.14296423031,77243.06090195583,21326.102496924042,388429.62666320975,382008.39065317396,444351.1642772909,832780.7909405007,98.7088397573364,engineering_smoke_test
0.11973993989982283,0.4904760404440845,0.22232298210077994,1.266465048149031,1.581760488037998,1.6084645558137105,1.394053094542343,0.7841414216945457,0.37788371502973556,0.21281624409494243,0.2914702467951564,0.36833625221779376,0.37965848232824584,0.20388283098908966,1,0.11430715989025986,9,135.23267254003798,24.538746220719926,192,46.82454318533679,18.0,2.034391216344106,2.960467277723934,89.34607482673182,3.9871355331574527,0.19867422991455314,0.08843118243833725,4.625831211227089,24.284557123726696,19.683207382976192,45.987712405189164,3.04761961700708,4.057097137486915,0.9164380317631058,0.5989192180531898,0.775607628897947,2184.082239508182,sample_0009,8,7585.5759960245605,842.8417773360623,26.644205499515408,22456.84951891885,4711.4392743782255,4846.6719469182635,0.6389326202068638,True,307.20000000000005,5.983786957556663,0.24932445656486094,1.1052801629060476,2.506316737733221,4.528889430422783,0.55,432422.12503472815,190645.806586213,432422.12503472815,190645.806586213,1.0,432422.12503472815,190645.806586213,141888.48326793124,46990.693129991116,76638.55947840832,66056.95490244767,10586.20717483828,342160.8979536167,802678.9132759579,875868.1825237105,1218029.080477327,160.57173260351888,engineering_smoke_test
0.05996787621534809,0.3867844225968735,0.2350434751790741,1.3644917243864407,0.9201295350492384,1.264991879950786,0.8921838178511401,0.7030954458826792,0.34969191714998793,0.2979143543479536,0.5090915444496749,0.37921378474298306,0.6279806133623169,0.6099296314020383,1,0.1428881057396883,9,95.03605691818683,26.86510022022896,180,42.616486893022994,15.69850582999046,2.714684273429919,3.0485813916992095,69.88062214509446,3.9199863057600743,0.18422658142766812,0.21637455537389705,4.133424807117576,25.31891786023636,21.985814847893366,50.19371120039591,3.3433695534055,4.071408866509832,0.9107566068595223,0.6311686287888404,1.1364633522481116,2902.5406285826452,sample_0010,9,6021.136511494501,669.0151679438335,27.437232525292885,18355.924725822828,4835.718039641213,4930.7540965594,0.8189075413165714,True,288.0,7.952166105705877,0.33134025440441156,1.2522820043224447,2.7196600348960467,3.18666940986682,0.55,312816.7365241995,181749.75082744771,312816.7365241995,181749.75082744771,1.0,312816.7365241995,181749.75082744771,93563.31435320083,44640.505728242075,72238.18451686452,68508.00662236976,15988.707439289466,294938.71865996666,792500.2987426209,870155.9700734165,1165094.688733383,193.50079283357687,engineering_smoke_test
0.09780258097086458,0.3200447020092131,0.20684393970121814,1.065249513046101,1.787896737263646,1.3304320842921817,1.6286773754335913,0.42165368587399576,0.3229407607113915,0.2220747331604046,0.3083266335044079,0.34993903916083247,0.3524705678000277,0.38748251327140515,2,0.11283639548534216,14,91.29864973645184,29.144663230691222,209,38.83094217825673,16.409029870180028,2.366437411929137,2.8008894115890035,68.22053376158924,3.4483623999270767,0.19320050563739807,0.09263545516291528,5.571361482808772,25.408003581078102,19.90800589158336,52.886997499688825,4.2076382370920635,3.9604118664044137,0.9154124601291668,0.6879277515825877,1.0345997693747666,2144.4464641186155,sample_0011,10,8920.493261263473,637.1780900902481,39.21245176224605,24985.31512162392,6091.2346152144655,6182.533264950917,0.693070784751116,True,334.40000000000003,5.875195792105796,0.24479982467107483,2.2016145109160354,2.9565431486478992,4.3329886370625506,0.65,430571.5482652962,202845.17338930548,430571.5482652962,202845.17338930548,1.0,430571.5482652962,202845.17338930548,102330.93341286585,51218.20159918492,106577.47220690522,65965.51829774343,13430.071880901281,339522.1973976007,1038853.4932259871,1134847.446886841,1474369.6442844416,165.27893706133648,engineering_smoke_test
0.09558570216267709,0.4441513779557897,0.29659785447100484,1.2818982616193546,1.2643397880728786,1.0108069968697801,1.8364018235170965,0.6516800652803948,0.2735054334986582,0.34922201528598573,0.47914483724220647,0.3875048391678369,0.4986725637002881,0.4911965789480711,2,0.11876879310028954,10,84.41927093617484,22.824490769052954,199,48.644572200433075,17.250394549374196,2.8199107018220513,2.998767147715056,9.127429320543385,2.534529407372795,0.19675579535155588,0.13457228140821076,4.7974953079926586,25.223025330183777,21.304938469691425,48.08724822599043,4.109403403799463,2.401319186978595,0.8437216452150497,0.6999825674554835,0.6814867482610943,2748.9209451294764,sample_0015,14,8391.380631429904,839.1380631429903,29.987671477150563,25163.79656150442,4542.073663041538,4626.492933977713,0.5513387054150768,True,318.40000000000003,7.531290260628703,0.31380376085952927,1.364495304179261,3.516234493070522,2.6935079010728393,0.65,434861.3483337945,218893.98180847653,434861.3483337945,218893.98180847653,1.0,434861.3483337945,218893.98180847653,105821.04154869085,91155.72098680263,110664.98514958964,58464.6031358949,11224.250647281013,377330.60146825906,879732.8911450778,1042681.4295144099,1420012.030982669,169.22269330317542,engineering_smoke_test
0.054432616092338376,0.37050886478869893,0.2563034854982825,1.2901552937852976,1.899555162759485,1.2619885004410316,1.4146170746147089,0.6134541636654094,0.27007486285058313,0.3428297046022042,0.4704510647373217,0.36623429447949774,0.38980551825569354,0.2536413027439686,3,0.14627168348634895,11,96.19256021101465,25.884934351845395,204,46.91217618624488,18.0,2.3693849298551584,3.125401522808442,48.23868339786726,2.7391659336801975,0.19980315062960433,0.12500451827715645,5.8601091643147445,24.901518569161368,19.963134964758233,47.20477134873632,3.372386688512144,2.4331172162131267,0.8228695650818771,0.6007653984487785,0.8767864779864333,2715.7717918576327,sample_0016,15,9288.610884876485,844.4191713524078,34.37941675089286,29030.638604368036,5280.526607776461,5376.719167987476,0.5788507274797928,True,326.40000000000003,7.440470662623651,0.3100196109426521,1.4601136404796182,3.5626770631120985,2.746900101058427,0.75,467672.69921341276,216522.7359367269,467672.69921341276,216522.7359367269,1.0,467672.69921341276,216522.7359367269,138677.06832271488,88989.84993157058,147825.6336718312,69097.5080028083,19177.303625124052,463767.36355404905,891378.7776852954,1083256.4667725943,1547023.8303266433,166.55061230366255,engineering_smoke_test
0.07005382088679413,0.29341160804680494,0.2891161455224198,0.9499650006754747,1.1695700722929412,1.4988895314648552,1.7131514478390897,0.3012512424266034,0.2029529640184553,0.2980551717891623,0.3463444934839635,0.3891587092008954,0.49956556325926865,0.641034605333413,2,0.12911206412099407,11,129.15223841582014,28.876605641479628,165,39.17799515286312,13.625982296066352,2.875241894609925,3.01148298051315,74.56649104610645,2.7888065920700416,0.0715407711635927,0.14236622250166187,4.233372309419171,24.868384106836487,21.676806564764075,48.52403805128363,3.463600550091357,3.5311824105316747,0.823706663905072,0.6216930579716254,0.7156290855128098,2193.2457106392885,sample_0023,22,5872.225351831148,533.8386683482862,33.12631278564465,17684.106704777347,4764.639930844139,4893.792169259958,0.8333794900657069,True,264.0,6.008892357915859,0.2503705149131608,3.1494883843296986,4.787250039615416,3.1850835370418538,0.65,263841.6882667314,136837.42842421384,263841.6882667314,136837.42842421384,1.0,263841.6882667314,136837.42842421384,76175.55328652787,38751.163920645726,54522.58862312649,35917.69007195123,7440.997018540309,212807.9929207916,268722.1445423275,326235.2440714215,539043.2369922132,91.79539351706286,engineering_smoke_test
0.1041937701405007,0.4068108019742245,0.2404035266633791,1.359312802081357,1.824627626862793,1.7932692955137732,1.0320692803364575,0.6838918119205291,0.24795151105564728,0.2500771015210989,0.35064491943883047,0.2762288177988489,0.5742512198089694,0.43737207007303985,1,0.14134072935790873,13,131.13708188014726,27.64326347419344,215,45.2178543510672,18.0,2.080455294024651,3.103793186472486,60.31052300578715,3.840638033987669,0.13058908581692139,0.14014586548047908,5.4024127611330925,25.076614085855727,20.612923047565925,52.1917286413738,4.490200562800224,2.455018964107907,0.8554353362476526,0.6841445996051794,0.9831755948042022,2867.321355708527,sample_0025,24,10580.977918149725,813.9213783192097,40.349311424142314,32841.16716856894,5943.30164695159,6074.438728831737,0.5740904834903919,True,344.0,7.855674947146649,0.3273197894644437,1.2922195829363199,3.8930466055339825,3.82876675600237,0.55,561179.5596289384,274877.3717632513,561179.5596289384,274877.3717632513,1.0,561179.5596289384,274877.3717632513,124978.72907462512,111965.47797875562,163904.14623886225,116521.36291807918,22554.17204070712,539923.8882510293,709089.8622475002,828922.8094760576,1368846.697727087,129.36863759814503,engineering_smoke_test
0.08450568094479971,0.405926115517294,0.27935104069968997,1.6732129902491555,1.035343954374062,1.9066688268113468,0.8629343390880135,0.42323057232658357,0.2092546960422441,0.31073512716690876,0.3399170887877806,0.24178271845765117,0.4293814206503972,0.22148690253241832,2,0.10135251569365791,9,113.71709923712058,28.503129335167362,185,49.6924044618162,16.926577454588436,2.9357620933785196,2.9070831515923707,56.642124061533174,2.5161756123642562,0.181389796043043,0.08700384657661661,6.876808683451924,25.659251044221538,21.820068376608884,46.243633842625925,3.973033541469074,3.9661249628119446,0.8516802519482471,0.627723800242518,1.0245220581056655,2611.8997866206064,sample_0026,25,7570.100997249012,841.122333027668,26.163748364331337,22006.913064955206,5273.078927005962,5386.796026243082,0.711588396006956,True,296.0,7.155889826357826,0.29816207609824275,2.1927782711981294,4.638865272386151,3.048174942490034,0.65,393795.12828968215,200975.0281046372,393795.12828968215,200975.0281046372,1.0,393795.12828968215,200975.0281046372,99116.99062678237,50672.89356464145,135970.63502198327,49750.69273968226,15635.691943685026,351146.90389677434,711960.1579104454,835947.7119280535,1187094.615824828,156.81357702575173,engineering_smoke_test
