scenario,mean_ocei,std_ocei,corr_with_baseline_ocei,eui_ocei_pearson_r,eui_ocei_pearson_p,top10_overlap_with_baseline,electricity_share,natural_gas_share,district_heating_share,district_cooling_share
Baseline,46.0342332220222,7.502225614653347,1.0,0.9791049653138011,3.5869868724035245e-84,1.0,0.2834724362498343,0.4120650401398643,0.12015875432912891,0.1843037692811725
Electricity Low 0.40,42.51888028776427,7.409077561927604,0.9971632183889162,0.9885750942542012,1.1847893287904437e-99,0.8333333333333334,0.22343573711199238,0.44659131113301426,0.13022666427062432,0.199746287484369
Electricity High 0.70,49.54958615628012,7.63678114835663,0.9973300863808108,0.9646083877745911,9.73033174853173e-71,1.0,0.33489235054765015,0.3824941623103748,0.111535844112809,0.171077643029166
Grid Decarbonisation 2030 0.40,42.51888028776427,7.409077561927604,0.9971632183889162,0.9885750942542012,1.1847893287904437e-99,0.8333333333333334,0.22343573711199238,0.44659131113301426,0.13022666427062432,0.199746287484369
Grid Decarbonisation 2050 0.25,39.00352735350635,7.358909548594148,0.9884472137078955,0.9924558387081014,2.5001644852873502e-110,0.75,0.1524182142105289,0.4874325012079139,0.1421360136370579,0.21801327094449927
High District Thermal Factors,50.125112040465176,7.59347434207327,0.9992740876730128,0.9755166150083098,4.024297976397475e-80,0.9166666666666666,0.26012133495753426,0.37812109617615103,0.15035543424716794,0.21140213461914678
